config,seed,benchmark,metric,value,n
V1,42,s461,pearson,0.6504133906218551,461
V1,42,s461,rmse,1.07943141948086,461
V1,42,s461,mae,0.827885507171117,461
V1,42,s783,spearman,0.6185903614360124,783
V1,42,s783,pearson,0.6198143464586107,783
V1,42,s783,rmse,1.6019489321172367,783
V1,42,s783,mae,1.1799204553909228,783
V1,42,s2648,spearman,0.5744385989256009,2648
V1,42,s2648,pearson,0.568042056803103,2648
V1,42,s2648,rmse,1.3614327657377283,2648
V1,42,s2648,mae,1.0183353418339427,2648
V1,42,s8754,spearman,0.550568939086081,8228
V1,42,s8754,pearson,0.5117544264535312,8228
V1,42,s8754,rmse,1.8128034622723181,8228
V1,42,s8754,mae,1.2406127864519425,8228
V1,42,ssym_direct,spearman,0.49769468692994007,342
V1,42,ssym_direct,pearson,0.49296991239164645,342
V1,42,ssym_direct,rmse,1.4549254105554332,342
V1,42,ssym_direct,mae,1.0139415584700673,342
V1,42,ssym_inverse,spearman,0.2756229298801306,342
V1,42,ssym_inverse,pearson,0.3282810262777083,342
V1,42,ssym_inverse,rmse,1.891311094950117,342
V1,42,ssym_inverse,mae,1.4076211068626734,342
V1,42,s571,spearman,0.4221193711209583,571
V1,42,s571,pearson,0.3756445887927285,571
V1,42,s571,rmse,8.893787182467767,571
V1,42,s571,mae,5.93079106926905,571
V1,42,s4346,spearman,0.47620628858510916,3969
V1,42,s4346,pearson,0.44082808197240414,3969
V1,42,s4346,rmse,7.580818969486688,3969
V1,42,s4346,mae,4.727986340832672,3969
V1,42,megascale_test,spearman,0.66090673652852,28172
V1,42,megascale_test,pearson,0.6728383100945997,28172
V1,42,megascale_test,rmse,1.2527684919821853,28172
V1,42,megascale_test,mae,0.9695366524822779,28172
V1,43,s669,spearman,0.4696916912391591,669
V1,43,s669,pearson,0.4384429098036019,669
V1,43,s669,rmse,1.631035617713489,669
V1,43,s669,mae,1.1747087111727228,669
V1,43,s461,spearman,0.655563147468659,461
V1,43,s461,pearson,0.6470819095586605,461
V1,43,s461,rmse,1.0982895337237921,461
V1,43,s461,mae,0.8346521715404276,461
V1,43,s783,spearman,0.6367080958171873,783
V1,43,s783,pearson,0.6393685691688235,783
V1,43,s783,rmse,1.5805576681029307,783
V1,43,s783,mae,1.1621244614813024,783
V1,43,s2648,spearman,0.5896113649260736,2648
V1,43,s2648,pearson,0.5731161984099797,2648
V1,43,s2648,rmse,1.3982331186320855,2648
V1,43,s2648,mae,1.0413817786302113,2648
V1,43,s8754,spearman,0.560172463826027,8228
V1,43,s8754,pearson,0.5099053150975651,8228
V1,43,s8754,rmse,1.839511767004244,8228
V1,43,s8754,mae,1.2715305586305707,8228
V1,43,ssym_direct,spearman,0.511966197149547,342
V1,43,ssym_direct,pearson,0.5036083913362627,342
V1,43,ssym_direct,rmse,1.4589482692275002,342
V1,43,ssym_direct,mae,1.053597577297461,342
V1,43,ssym_inverse,spearman,0.29256881032298354,342
V1,43,ssym_inverse,pearson,0.3329753488608521,342
V1,43,ssym_inverse,rmse,1.8810080325543572,342
V1,43,ssym_inverse,mae,1.3544288716273525,342
V1,43,s571,spearman,0.41818040065142564,571
V1,43,s571,pearson,0.36994981146308237,571
V1,43,s571,rmse,8.899158245402317,571
V1,43,s571,mae,5.895065140279235,571
V1,43,s4346,spearman,0.487347307881558,3969
V1,43,s4346,pearson,0.4551985430574525,3969
V1,43,s4346,rmse,7.551265341062655,3969
V1,43,s4346,mae,4.708411428082005,3969
V1,43,megascale_test,spearman,0.6588259366126505,28172
V1,43,megascale_test,pearson,0.6660828693757952,28172
V1,43,megascale_test,rmse,1.2837400047609975,28172
V1,43,megascale_test,mae,0.9902377499504862,28172
V1,44,s669,spearman,0.45599285439606885,669
V1,44,s669,pearson,0.4274592688159358,669
V1,44,s669,rmse,1.6699028297921255,669
V1,44,s669,mae,1.217498665491762,669
V1,44,s461,spearman,0.6575538621827655,461
V1,44,s461,pearson,0.6515011973473691,461
V1,44,s461,rmse,1.1163578568474892,461
V1,44,s461,mae,0.8628718183409229,461
V1,44,s783,spearman,0.6448695931467604,783
